adc ax,ax|6611c0
or rcx,[rsp]|480b0c24
or rsi,0x0|4883ce00
or rsi,[0x0]|480b342500000000
or rsi,[ebx]|67480b33
or rsi,[esi]|67480b36
or rsi,[edi]|67480b37
or rsi,[ebp]|67480b7500
or rsi,[esp]|67480b3424
or rsi,rax|4809c6
or rsi,rbx|4809de
or rsi,rcx|4809ce
or rsi,rsi|4809f6
or rsi,rdi|4809fe
or rsi,rbp|4809ee
or rsi,rsp|4809e6
or rsi,[rbx]|480b33
or rsi,[rsi]|480b36
or rsi,[rdi]|480b37
or rsi,[rbp]|480b7500
or rsi,[rsp]|480b3424
or rdi,0x0|4883cf00
or rdi,[0x0]|480b3c2500000000
or rdi,[ebx]|67480b3b
or rdi,[esi]|67480b3e
or rdi,[edi]|67480b3f
or rdi,[ebp]|67480b7d00
or rdi,[esp]|67480b3c24
or rdi,rax|4809c7
or rdi,rbx|4809df
or rdi,rcx|4809cf
or rdi,rsi|4809f7
or rdi,rdi|4809ff
or rdi,rbp|4809ef
or rdi,rsp|4809e7
or rdi,[rbx]|480b3b
or rdi,[rsi]|480b3e
or rdi,[rdi]|480b3f
or rdi,[rbp]|480b7d00
or rdi,[rsp]|480b3c24
or rbp,0x0|4883cd00
or rbp,[0x0]|480b2c2500000000
or rbp,[ebx]|67480b2b
or rbp,[esi]|67480b2e
or rbp,[edi]|67480b2f
or rbp,[ebp]|67480b6d00
or rbp,[esp]|67480b2c24
or rbp,rax|4809c5
or rbp,rbx|4809dd
or rbp,rcx|4809cd
or rbp,rsi|4809f5
or rbp,rdi|4809fd
or rbp,rbp|4809ed
or rbp,rsp|4809e5
or rbp,[rbx]|480b2b
or rbp,[rsi]|480b2e
or rbp,[rdi]|480b2f
or rbp,[rbp]|480b6d00
or rbp,[rsp]|480b2c24
or rsp,0x0|4883cc00
or rsp,[0x0]|480b242500000000
or rsp,[ebx]|67480b23
or rsp,[esi]|67480b26
or rsp,[edi]|67480b27
or rsp,[ebp]|67480b6500
or rsp,[esp]|67480b2424
or rsp,rax|4809c4
or rsp,rbx|4809dc
or rsp,rcx|4809cc
or rsp,rsi|4809f4
or rsp,rdi|4809fc
or rsp,rbp|4809ec
or rsp,rsp|4809e4
or rsp,[rbx]|480b23
or rsp,[rsi]|480b26
or rsp,[rdi]|480b27
or rsp,[rbp]|480b6500
or rsp,[rsp]|480b2424
or [rbx],ax|660903
or [rbx],bx|66091b
or [rbx],cx|66090b
or [rbx],dx|660913
or [rbx],si|660933
or [rbx],di|66093b
or [rbx],sp|660923
or [rbx],bp|66092b
or [rbx],ah|0823
or [rbx],al|0803
or [rbx],bh|083b
or [rbx],bl|081b
or [rbx],ch|082b
or [rbx],cl|080b
or [rbx],dh|0833
or [rbx],dl|0813
or [rbx],eax|0903
or [rbx],ebx|091b
or [rbx],ecx|090b
or [rbx],esi|0933
or [rbx],edi|093b
or [rbx],ebp|092b
or [rbx],esp|0923
or [rbx],rax|480903
or [rbx],rbx|48091b
or [rbx],rcx|48090b
or [rbx],rsi|480933
or [rbx],rdi|48093b
or [rbx],rbp|48092b
or [rbx],rsp|480923
or [rsi],ax|660906
or [rsi],bx|66091e
or [rsi],cx|66090e
or [rsi],dx|660916
or [rsi],si|660936
or [rsi],di|66093e
or [rsi],sp|660926
or [rsi],bp|66092e
or [rsi],ah|0826
or [rsi],al|0806
or [rsi],bh|083e
or [rsi],bl|081e
or [rsi],ch|082e
or [rsi],cl|080e
or [rsi],dh|0836
or [rsi],dl|0816
or [rsi],eax|0906
or [rsi],ebx|091e
or [rsi],ecx|090e
or [rsi],esi|0936
or [rsi],edi|093e
or [rsi],ebp|092e
or [rsi],esp|0926
or [rsi],rax|480906
or [rsi],rbx|48091e
or [rsi],rcx|48090e
or [rsi],rsi|480936
or [rsi],rdi|48093e
or [rsi],rbp|48092e
or [rsi],rsp|480926
or [rdi],ax|660907
or [rdi],bx|66091f
or [rdi],cx|66090f
or [rdi],dx|660917
or [rdi],si|660937
or [rdi],di|66093f
or [rdi],sp|660927
or [rdi],bp|66092f
or [rdi],ah|0827
or [rdi],al|0807
or [rdi],bh|083f
or [rdi],bl|081f
or [rdi],ch|082f
or [rdi],cl|080f
or [rdi],dh|0837
or [rdi],dl|0817
or [rdi],eax|0907
or [rdi],ebx|091f
or [rdi],ecx|090f
or [rdi],esi|0937
or [rdi],edi|093f
or [rdi],ebp|092f
or [rdi],esp|0927
or [rdi],rax|480907
or [rdi],rbx|48091f
or [rdi],rcx|48090f
or [rdi],rsi|480937
or [rdi],rdi|48093f
or [rdi],rbp|48092f
or [rdi],rsp|480927
or [rbp],ax|66094500
or [rbp],bx|66095d00
or [rbp],cx|66094d00
or [rbp],dx|66095500
or [rbp],si|66097500
or [rbp],di|66097d00
or [rbp],sp|66096500
or [rbp],bp|66096d00
or [rbp],ah|086500
or [rbp],al|084500
or [rbp],bh|087d00
or [rbp],bl|085d00
or [rbp],ch|086d00
or [rbp],cl|084d00
or [rbp],dh|087500
or [rbp],dl|085500
or [rbp],eax|094500
or [rbp],ebx|095d00
or [rbp],ecx|094d00
or [rbp],esi|097500
or [rbp],edi|097d00
or [rbp],ebp|096d00
or [rbp],esp|096500
or [rbp],rax|48094500
or [rbp],rbx|48095d00
or [rbp],rcx|48094d00
or [rbp],rsi|48097500
or [rbp],rdi|48097d00
or [rbp],rbp|48096d00
or [rbp],rsp|48096500
or [rsp],ax|66090424
or [rsp],bx|66091c24
or [rsp],cx|66090c24
or [rsp],dx|66091424
or [rsp],si|66093424
or [rsp],di|66093c24
or [rsp],sp|66092424
or [rsp],bp|66092c24
or [rsp],ah|082424
or [rsp],al|080424
or [rsp],bh|083c24
or [rsp],bl|081c24
or [rsp],ch|082c24
or [rsp],cl|080c24
or [rsp],dh|083424
or [rsp],dl|081424
or [rsp],eax|090424
or [rsp],ebx|091c24
or [rsp],ecx|090c24
or [rsp],esi|093424
or [rsp],edi|093c24
or [rsp],ebp|092c24
or [rsp],esp|092424
or [rsp],rax|48090424
or [rsp],rbx|48091c24
or [rsp],rcx|48090c24
or [rsp],rsi|48093424
or [rsp],rdi|48093c24
or [rsp],rbp|48092c24
or [rsp],rsp|48092424
xor ax,ax|6631c0
xor ax,bx|6631d8
xor ax,cx|6631c8
xor ax,dx|6631d0
xor ax,si|6631f0
xor ax,di|6631f8
xor ax,sp|6631e0
xor ax,bp|6631e8
xor ax,0x0|6683f000
xor ax,[0x0]|6633042500000000
xor ax,[ebx]|66673303
xor ax,[esi]|66673306
xor ax,[edi]|66673307
xor ax,[ebp]|6667334500
xor ax,[esp]|6667330424
xor ax,[rbx]|663303
xor ax,[rsi]|663306
xor ax,[rdi]|663307
xor ax,[rbp]|66334500
xor ax,[rsp]|66330424
xor bx,ax|6631c3
xor bx,bx|6631db
xor bx,cx|6631cb
xor bx,dx|6631d3
xor bx,si|6631f3
xor bx,di|6631fb
xor bx,sp|6631e3
xor bx,bp|6631eb
xor bx,0x0|6683f300
xor bx,[0x0]|66331c2500000000
xor bx,[ebx]|6667331b
xor bx,[esi]|6667331e
xor bx,[edi]|6667331f
xor bx,[ebp]|6667335d00
xor bx,[esp]|6667331c24
xor bx,[rbx]|66331b
xor bx,[rsi]|66331e
xor bx,[rdi]|66331f
xor bx,[rbp]|66335d00
xor bx,[rsp]|66331c24
xor cx,ax|6631c1
xor cx,bx|6631d9
xor cx,cx|6631c9
xor cx,dx|6631d1
xor cx,si|6631f1
xor cx,di|6631f9
xor cx,sp|6631e1
xor cx,bp|6631e9
xor cx,0x0|6683f100
xor cx,[0x0]|66330c2500000000
xor cx,[ebx]|6667330b
xor cx,[esi]|6667330e
xor cx,[edi]|6667330f
xor cx,[ebp]|6667334d00
xor cx,[esp]|6667330c24
xor cx,[rbx]|66330b
xor cx,[rsi]|66330e
xor cx,[rdi]|66330f
xor cx,[rbp]|66334d00
xor cx,[rsp]|66330c24
xor dx,ax|6631c2
xor dx,bx|6631da
xor dx,cx|6631ca
xor dx,dx|6631d2
xor dx,si|6631f2
xor dx,di|6631fa
xor dx,sp|6631e2
xor dx,bp|6631ea
xor dx,0x0|6683f200
xor dx,[0x0]|6633142500000000
xor dx,[ebx]|66673313
xor dx,[esi]|66673316
xor dx,[edi]|66673317
xor dx,[ebp]|6667335500
xor dx,[esp]|6667331424
xor dx,[rbx]|663313
xor dx,[rsi]|663316
xor dx,[rdi]|663317
xor dx,[rbp]|66335500
xor dx,[rsp]|66331424
xor si,ax|6631c6
xor si,bx|6631de
xor si,cx|6631ce
xor si,dx|6631d6
xor si,si|6631f6
xor si,di|6631fe
xor si,sp|6631e6
xor si,bp|6631ee
xor si,0x0|6683f600
xor si,[0x0]|6633342500000000
xor si,[ebx]|66673333
xor si,[esi]|66673336
xor si,[edi]|66673337
xor si,[ebp]|6667337500
xor si,[esp]|6667333424
xor si,[rbx]|663333
xor si,[rsi]|663336
xor si,[rdi]|663337
xor si,[rbp]|66337500
xor si,[rsp]|66333424
xor di,ax|6631c7
xor di,bx|6631df
xor di,cx|6631cf
xor di,dx|6631d7
xor di,si|6631f7
xor di,di|6631ff
xor di,sp|6631e7
xor di,bp|6631ef
xor di,0x0|6683f700
xor di,[0x0]|66333c2500000000
xor di,[ebx]|6667333b
xor di,[esi]|6667333e
xor di,[edi]|6667333f
xor di,[ebp]|6667337d00
xor di,[esp]|6667333c24
xor di,[rbx]|66333b
xor di,[rsi]|66333e
xor di,[rdi]|66333f
xor di,[rbp]|66337d00
xor di,[rsp]|66333c24
xor sp,ax|6631c4
xor sp,bx|6631dc
xor sp,cx|6631cc
xor sp,dx|6631d4
xor sp,si|6631f4
xor sp,di|6631fc
xor sp,sp|6631e4
xor sp,bp|6631ec
xor sp,0x0|6683f400
xor sp,[0x0]|6633242500000000
xor sp,[ebx]|66673323
xor sp,[esi]|66673326
xor sp,[edi]|66673327
xor sp,[ebp]|6667336500
xor sp,[esp]|6667332424
xor sp,[rbx]|663323
xor sp,[rsi]|663326
xor sp,[rdi]|663327
xor sp,[rbp]|66336500
xor sp,[rsp]|66332424
xor bp,ax|6631c5
xor bp,bx|6631dd
xor bp,cx|6631cd
xor bp,dx|6631d5
xor bp,si|6631f5
xor bp,di|6631fd
xor bp,sp|6631e5
xor bp,bp|6631ed
xor bp,0x0|6683f500
xor bp,[0x0]|66332c2500000000
xor bp,[ebx]|6667332b
xor bp,[esi]|6667332e
xor bp,[edi]|6667332f
xor bp,[ebp]|6667336d00
xor bp,[esp]|6667332c24
xor bp,[rbx]|66332b
xor bp,[rsi]|66332e
xor bp,[rdi]|66332f
xor bp,[rbp]|66336d00
xor bp,[rsp]|66332c24
xor ah,0x0|80f400
xor ah,ah|30e4
xor ah,al|30c4
xor ah,bh|30fc
xor ah,bl|30dc
xor ah,ch|30ec
xor ah,cl|30cc
xor ah,dh|30f4
xor ah,dl|30d4
xor ah,[0x0]|32242500000000
xor ah,[ebx]|673223
xor ah,[esi]|673226
xor ah,[edi]|673227
xor ah,[ebp]|67326500
xor ah,[esp]|67322424
xor ah,[rbx]|3223
xor ah,[rsi]|3226
xor ah,[rdi]|3227
xor ah,[rbp]|326500
xor ah,[rsp]|322424
xor al,0x0|3400
xor al,ah|30e0
xor al,al|30c0
xor al,bh|30f8
xor al,bl|30d8
xor al,ch|30e8
xor al,cl|30c8
xor al,dh|30f0
xor al,dl|30d0
xor al,[0x0]|32042500000000
xor al,[ebx]|673203
xor al,[esi]|673206
xor al,[edi]|673207
xor al,[ebp]|67324500
xor al,[esp]|67320424
xor al,[rbx]|3203
xor al,[rsi]|3206
xor al,[rdi]|3207
xor al,[rbp]|324500
xor al,[rsp]|320424
xor bh,0x0|80f700
xor bh,ah|30e7
xor bh,al|30c7
xor bh,bh|30ff
xor bh,bl|30df
xor bh,ch|30ef
xor bh,cl|30cf
xor bh,dh|30f7
xor bh,dl|30d7
xor bh,[0x0]|323c2500000000
xor bh,[ebx]|67323b
xor bh,[esi]|67323e
xor bh,[edi]|67323f
xor bh,[ebp]|67327d00
xor bh,[esp]|67323c24
xor bh,[rbx]|323b
xor bh,[rsi]|323e
xor bh,[rdi]|323f
xor bh,[rbp]|327d00
xor bh,[rsp]|323c24
xor bl,0x0|80f300
xor bl,ah|30e3
xor bl,al|30c3
xor bl,bh|30fb
xor bl,bl|30db
xor bl,ch|30eb
xor bl,cl|30cb
xor bl,dh|30f3
xor bl,dl|30d3
xor bl,[0x0]|321c2500000000
xor bl,[ebx]|67321b
xor bl,[esi]|67321e
xor bl,[edi]|67321f
xor bl,[ebp]|67325d00
xor bl,[esp]|67321c24
xor bl,[rbx]|321b
xor bl,[rsi]|321e
xor bl,[rdi]|321f
xor bl,[rbp]|325d00
xor bl,[rsp]|321c24
xor ch,0x0|80f500
xor ch,ah|30e5
xor ch,al|30c5
xor ch,bh|30fd
xor ch,bl|30dd
xor ch,ch|30ed
xor ch,cl|30cd
xor ch,dh|30f5
xor ch,dl|30d5
xor ch,[0x0]|322c2500000000
xor ch,[ebx]|67322b
xor ch,[esi]|67322e
xor ch,[edi]|67322f
xor ch,[ebp]|67326d00
xor ch,[esp]|67322c24
xor ch,[rbx]|322b
xor ch,[rsi]|322e
xor ch,[rdi]|322f
xor ch,[rbp]|326d00
xor ch,[rsp]|322c24
xor cl,0x0|80f100
xor cl,ah|30e1
xor cl,al|30c1
xor cl,bh|30f9
xor cl,bl|30d9
xor cl,ch|30e9
xor cl,cl|30c9
xor cl,dh|30f1
xor cl,dl|30d1
xor cl,[0x0]|320c2500000000
xor cl,[ebx]|67320b
xor cl,[esi]|67320e
xor cl,[edi]|67320f
xor cl,[ebp]|67324d00
xor cl,[esp]|67320c24
xor cl,[rbx]|320b
xor cl,[rsi]|320e
xor cl,[rdi]|320f
xor cl,[rbp]|324d00
xor cl,[rsp]|320c24
xor dh,0x0|80f600
xor dh,ah|30e6
xor dh,al|30c6
xor dh,bh|30fe
xor dh,bl|30de
xor dh,ch|30ee
xor dh,cl|30ce
xor dh,dh|30f6
xor dh,dl|30d6
xor dh,[0x0]|32342500000000
xor dh,[ebx]|673233
xor dh,[esi]|673236
xor dh,[edi]|673237
xor dh,[ebp]|67327500
xor dh,[esp]|67323424
xor dh,[rbx]|3233
xor dh,[rsi]|3236
xor dh,[rdi]|3237
xor dh,[rbp]|327500
xor dh,[rsp]|323424
xor dl,0x0|80f200
xor dl,ah|30e2
xor dl,al|30c2
xor dl,bh|30fa
xor dl,bl|30da
xor dl,ch|30ea
xor dl,cl|30ca
xor dl,dh|30f2
xor dl,dl|30d2
xor dl,[0x0]|32142500000000
xor dl,[ebx]|673213
xor dl,[esi]|673216
xor dl,[edi]|673217
xor dl,[ebp]|67325500
xor dl,[esp]|67321424
xor dl,[rbx]|3213
xor dl,[rsi]|3216
xor dl,[rdi]|3217
xor dl,[rbp]|325500
xor dl,[rsp]|321424
xor [0x0],ax|6631042500000000
xor [0x0],bx|66311c2500000000
xor [0x0],cx|66310c2500000000
xor [0x0],dx|6631142500000000
xor [0x0],si|6631342500000000
xor [0x0],di|66313c2500000000
xor [0x0],sp|6631242500000000
xor [0x0],bp|66312c2500000000
xor [0x0],ah|30242500000000
xor [0x0],al|30042500000000
xor [0x0],bh|303c2500000000
xor [0x0],bl|301c2500000000
xor [0x0],ch|302c2500000000
xor [0x0],cl|300c2500000000
xor [0x0],dh|30342500000000
xor [0x0],dl|30142500000000
xor [0x0],eax|31042500000000
xor [0x0],ebx|311c2500000000
xor [0x0],ecx|310c2500000000
xor [0x0],esi|31342500000000
xor [0x0],edi|313c2500000000
xor [0x0],ebp|312c2500000000
xor [0x0],esp|31242500000000
xor [0x0],rax|4831042500000000
xor [0x0],rbx|48311c2500000000
xor [0x0],rcx|48310c2500000000
xor [0x0],rsi|4831342500000000
xor [0x0],rdi|48313c2500000000
xor [0x0],rbp|48312c2500000000
xor [0x0],rsp|4831242500000000
xor eax,0x0|83f000
xor eax,[0x0]|33042500000000
xor eax,eax|31c0
xor eax,ebx|31d8
xor eax,ecx|31c8
xor eax,esi|31f0
xor eax,edi|31f8
xor eax,ebp|31e8
xor eax,esp|31e0
xor eax,[ebx]|673303
xor eax,[esi]|673306
xor eax,[edi]|673307
xor eax,[ebp]|67334500
xor eax,[esp]|67330424
xor eax,[rbx]|3303
xor eax,[rsi]|3306
xor eax,[rdi]|3307
xor eax,[rbp]|334500
xor eax,[rsp]|330424
xor ebx,0x0|83f300
xor ebx,[0x0]|331c2500000000
xor ebx,eax|31c3
xor ebx,ebx|31db
xor ebx,ecx|31cb
xor ebx,esi|31f3
xor ebx,edi|31fb
xor ebx,ebp|31eb
xor ebx,esp|31e3
xor ebx,[ebx]|67331b
xor ebx,[esi]|67331e
xor ebx,[edi]|67331f
xor ebx,[ebp]|67335d00
xor ebx,[esp]|67331c24
xor ebx,[rbx]|331b
xor ebx,[rsi]|331e
xor ebx,[rdi]|331f
xor ebx,[rbp]|335d00
xor ebx,[rsp]|331c24
xor ecx,0x0|83f100
xor ecx,[0x0]|330c2500000000
xor ecx,eax|31c1
xor ecx,ebx|31d9
xor ecx,ecx|31c9
xor ecx,esi|31f1
xor ecx,edi|31f9
xor ecx,ebp|31e9
xor ecx,esp|31e1
xor ecx,[ebx]|67330b
xor ecx,[esi]|67330e
xor ecx,[edi]|67330f
xor ecx,[ebp]|67334d00
xor ecx,[esp]|67330c24
xor ecx,[rbx]|330b
xor ecx,[rsi]|330e
xor ecx,[rdi]|330f
xor ecx,[rbp]|334d00
xor ecx,[rsp]|330c24
xor esi,0x0|83f600
xor esi,[0x0]|33342500000000
xor esi,eax|31c6
xor esi,ebx|31de
xor esi,ecx|31ce
xor esi,esi|31f6
xor esi,edi|31fe
xor esi,ebp|31ee
xor esi,esp|31e6
xor esi,[ebx]|673333
xor esi,[esi]|673336
xor esi,[edi]|673337
xor esi,[ebp]|67337500
xor esi,[esp]|67333424
xor esi,[rbx]|3333
xor esi,[rsi]|3336
xor esi,[rdi]|3337
xor esi,[rbp]|337500
xor esi,[rsp]|333424
xor edi,0x0|83f700
xor edi,[0x0]|333c2500000000
xor edi,eax|31c7
xor edi,ebx|31df
xor edi,ecx|31cf
xor edi,esi|31f7
xor edi,edi|31ff
xor edi,ebp|31ef
xor edi,esp|31e7
xor edi,[ebx]|67333b
xor edi,[esi]|67333e
xor edi,[edi]|67333f
xor edi,[ebp]|67337d00
xor edi,[esp]|67333c24
xor edi,[rbx]|333b
xor edi,[rsi]|333e
xor edi,[rdi]|333f
xor edi,[rbp]|337d00
xor edi,[rsp]|333c24
xor ebp,0x0|83f500
xor ebp,[0x0]|332c2500000000
xor ebp,eax|31c5
xor ebp,ebx|31dd
xor ebp,ecx|31cd
xor ebp,esi|31f5
xor ebp,edi|31fd
xor ebp,ebp|31ed
xor ebp,esp|31e5
xor ebp,[ebx]|67332b
xor ebp,[esi]|67332e
xor ebp,[edi]|67332f
xor ebp,[ebp]|67336d00
xor ebp,[esp]|67332c24
xor ebp,[rbx]|332b
xor ebp,[rsi]|332e
xor ebp,[rdi]|332f
xor ebp,[rbp]|336d00
xor ebp,[rsp]|332c24
xor esp,0x0|83f400
xor esp,[0x0]|33242500000000
xor esp,eax|31c4
xor esp,ebx|31dc
xor esp,ecx|31cc
xor esp,esi|31f4
xor esp,edi|31fc
xor esp,ebp|31ec
xor esp,esp|31e4
xor esp,[ebx]|673323
xor esp,[esi]|673326
xor esp,[edi]|673327
xor esp,[ebp]|67336500
xor esp,[esp]|67332424
xor esp,[rbx]|3323
xor esp,[rsi]|3326
xor esp,[rdi]|3327
xor esp,[rbp]|336500
xor esp,[rsp]|332424
xor [ebx],ax|66673103
xor [ebx],bx|6667311b
xor [ebx],cx|6667310b
xor [ebx],dx|66673113
xor [ebx],si|66673133
xor [ebx],di|6667313b
xor [ebx],sp|66673123
xor [ebx],bp|6667312b
xor [ebx],ah|673023
xor [ebx],al|673003
xor [ebx],bh|67303b
xor [ebx],bl|67301b
xor [ebx],ch|67302b
xor [ebx],cl|67300b
xor [ebx],dh|673033
xor [ebx],dl|673013
xor [ebx],eax|673103
xor [ebx],ebx|67311b
xor [ebx],ecx|67310b
xor [ebx],esi|673133
xor [ebx],edi|67313b
xor [ebx],ebp|67312b
xor [ebx],esp|673123
xor [ebx],rax|67483103
xor [ebx],rbx|6748311b
xor [ebx],rcx|6748310b
xor [ebx],rsi|67483133
xor [ebx],rdi|6748313b
xor [ebx],rbp|6748312b
xor [ebx],rsp|67483123
xor [esi],ax|66673106
xor [esi],bx|6667311e
xor [esi],cx|6667310e
xor [esi],dx|66673116
xor [esi],si|66673136
xor [esi],di|6667313e
xor [esi],sp|66673126
xor [esi],bp|6667312e
xor [esi],ah|673026
xor [esi],al|673006
xor [esi],bh|67303e
xor [esi],bl|67301e
xor [esi],ch|67302e
xor [esi],cl|67300e
xor [esi],dh|673036
xor [esi],dl|673016
xor [esi],eax|673106
xor [esi],ebx|67311e
xor [esi],ecx|67310e
xor [esi],esi|673136
xor [esi],edi|67313e
xor [esi],ebp|67312e
xor [esi],esp|673126
xor [esi],rax|67483106
xor [esi],rbx|6748311e
xor [esi],rcx|6748310e
xor [esi],rsi|67483136
xor [esi],rdi|6748313e
xor [esi],rbp|6748312e
xor [esi],rsp|67483126
xor [edi],ax|66673107
xor [edi],bx|6667311f
xor [edi],cx|6667310f
xor [edi],dx|66673117
xor [edi],si|66673137
xor [edi],di|6667313f
xor [edi],sp|66673127
xor [edi],bp|6667312f
xor [edi],ah|673027
xor [edi],al|673007
xor [edi],bh|67303f
xor [edi],bl|67301f
xor [edi],ch|67302f
xor [edi],cl|67300f
xor [edi],dh|673037
xor [edi],dl|673017
xor [edi],eax|673107
xor [edi],ebx|67311f
xor [edi],ecx|67310f
xor [edi],esi|673137
xor [edi],edi|67313f
xor [edi],ebp|67312f
xor [edi],esp|673127
xor [edi],rax|67483107
xor [edi],rbx|6748311f
xor [edi],rcx|6748310f
xor [edi],rsi|67483137
xor [edi],rdi|6748313f
xor [edi],rbp|6748312f
xor [edi],rsp|67483127
xor [ebp],ax|6667314500
xor [ebp],bx|6667315d00
xor [ebp],cx|6667314d00
xor [ebp],dx|6667315500
xor [ebp],si|6667317500
xor [ebp],di|6667317d00
xor [ebp],sp|6667316500
xor [ebp],bp|6667316d00
xor [ebp],ah|67306500
xor [ebp],al|67304500
xor [ebp],bh|67307d00
xor [ebp],bl|67305d00
xor [ebp],ch|67306d00
xor [ebp],cl|67304d00
xor [ebp],dh|67307500
xor [ebp],dl|67305500
xor [ebp],eax|67314500
xor [ebp],ebx|67315d00
xor [ebp],ecx|67314d00
xor [ebp],esi|67317500
xor [ebp],edi|67317d00
xor [ebp],ebp|67316d00
xor [ebp],esp|67316500
xor [ebp],rax|6748314500
xor [ebp],rbx|6748315d00
xor [ebp],rcx|6748314d00
xor [ebp],rsi|6748317500
xor [ebp],rdi|6748317d00
xor [ebp],rbp|6748316d00
xor [ebp],rsp|6748316500
xor [esp],ax|6667310424
xor [esp],bx|6667311c24
xor [esp],cx|6667310c24
xor [esp],dx|6667311424
xor [esp],si|6667313424
xor [esp],di|6667313c24
xor [esp],sp|6667312424
xor [esp],bp|6667312c24
xor [esp],ah|67302424
xor [esp],al|67300424
xor [esp],bh|67303c24
xor [esp],bl|67301c24
xor [esp],ch|67302c24
xor [esp],cl|67300c24
xor [esp],dh|67303424
xor [esp],dl|67301424
xor [esp],eax|67310424
xor [esp],ebx|67311c24
xor [esp],ecx|67310c24
xor [esp],esi|67313424
xor [esp],edi|67313c24
xor [esp],ebp|67312c24
xor [esp],esp|67312424
xor [esp],rax|6748310424
xor [esp],rbx|6748311c24
xor [esp],rcx|6748310c24
xor [esp],rsi|6748313424
xor [esp],rdi|6748313c24
xor [esp],rbp|6748312c24
xor [esp],rsp|6748312424
xor rax,0x0|4883f000
xor rax,[0x0]|4833042500000000
xor rax,[ebx]|67483303
xor rax,[esi]|67483306
xor rax,[edi]|67483307
xor rax,[ebp]|6748334500
xor rax,[esp]|6748330424
xor rax,rax|4831c0
xor rax,rbx|4831d8
xor rax,rcx|4831c8
xor rax,rsi|4831f0
xor rax,rdi|4831f8
xor rax,rbp|4831e8
xor rax,rsp|4831e0
xor rax,[rbx]|483303
xor rax,[rsi]|483306
xor rax,[rdi]|483307
xor rax,[rbp]|48334500
xor rax,[rsp]|48330424
xor rbx,0x0|4883f300
xor rbx,[0x0]|48331c2500000000
xor rbx,[ebx]|6748331b
xor rbx,[esi]|6748331e
xor rbx,[edi]|6748331f
xor rbx,[ebp]|6748335d00
xor rbx,[esp]|6748331c24
xor rbx,rax|4831c3
xor rbx,rbx|4831db
xor rbx,rcx|4831cb
xor rbx,rsi|4831f3
xor rbx,rdi|4831fb
xor rbx,rbp|4831eb
xor rbx,rsp|4831e3
xor rbx,[rbx]|48331b
xor rbx,[rsi]|48331e
xor rbx,[rdi]|48331f
xor rbx,[rbp]|48335d00
xor rbx,[rsp]|48331c24
xor rcx,0x0|4883f100
xor rcx,[0x0]|48330c2500000000
xor rcx,[ebx]|6748330b
xor rcx,[esi]|6748330e
xor rcx,[edi]|6748330f
xor rcx,[ebp]|6748334d00
xor rcx,[esp]|6748330c24
xor rcx,rax|4831c1
xor rcx,rbx|4831d9
xor rcx,rcx|4831c9
xor rcx,rsi|4831f1
xor rcx,rdi|4831f9
xor rcx,rbp|4831e9
xor rcx,rsp|4831e1
xor rcx,[rbx]|48330b
xor rcx,[rsi]|48330e
xor rcx,[rdi]|48330f
xor rcx,[rbp]|48334d00
xor rcx,[rsp]|48330c24
xor rsi,0x0|4883f600
xor rsi,[0x0]|4833342500000000
xor rsi,[ebx]|67483333
xor rsi,[esi]|67483336
xor rsi,[edi]|67483337
xor rsi,[ebp]|6748337500
xor rsi,[esp]|6748333424
xor rsi,rax|4831c6
xor rsi,rbx|4831de
xor rsi,rcx|4831ce
xor rsi,rsi|4831f6
xor rsi,rdi|4831fe
xor rsi,rbp|4831ee
xor rsi,rsp|4831e6
xor rsi,[rbx]|483333
xor rsi,[rsi]|483336
xor rsi,[rdi]|483337
xor rsi,[rbp]|48337500
xor rsi,[rsp]|48333424
xor rdi,0x0|4883f700
xor rdi,[0x0]|48333c2500000000
xor rdi,[ebx]|6748333b
xor rdi,[esi]|6748333e
xor rdi,[edi]|6748333f
xor rdi,[ebp]|6748337d00
xor rdi,[esp]|6748333c24
xor rdi,rax|4831c7
xor rdi,rbx|4831df
xor rdi,rcx|4831cf
xor rdi,rsi|4831f7
xor rdi,rdi|4831ff
xor rdi,rbp|4831ef
xor rdi,rsp|4831e7
xor rdi,[rbx]|48333b
xor rdi,[rsi]|48333e
xor rdi,[rdi]|48333f
xor rdi,[rbp]|48337d00
xor rdi,[rsp]|48333c24
xor rbp,0x0|4883f500
xor rbp,[0x0]|48332c2500000000
xor rbp,[ebx]|6748332b
xor rbp,[esi]|6748332e
xor rbp,[edi]|6748332f
xor rbp,[ebp]|6748336d00
xor rbp,[esp]|6748332c24
xor rbp,rax|4831c5
xor rbp,rbx|4831dd
xor rbp,rcx|4831cd
xor rbp,rsi|4831f5
xor rbp,rdi|4831fd
xor rbp,rbp|4831ed
xor rbp,rsp|4831e5
xor rbp,[rbx]|48332b
xor rbp,[rsi]|48332e
xor rbp,[rdi]|48332f
xor rbp,[rbp]|48336d00
xor rbp,[rsp]|48332c24
xor rsp,0x0|4883f400
xor rsp,[0x0]|4833242500000000
xor rsp,[ebx]|67483323
xor rsp,[esi]|67483326
xor rsp,[edi]|67483327
xor rsp,[ebp]|6748336500
xor rsp,[esp]|6748332424
xor rsp,rax|4831c4
xor rsp,rbx|4831dc
xor rsp,rcx|4831cc
xor rsp,rsi|4831f4
xor rsp,rdi|4831fc
xor rsp,rbp|4831ec
xor rsp,rsp|4831e4
xor rsp,[rbx]|483323
